obligation,title,statutory_text
5(a),Institution-specific AI policy,"develop institution-specific artificial intelligence policies which cover ethical use, academic integrity and governance in relation to, inter alia, teaching, learning, assessment, grading, and research"
5(b),Keeping the policy current,"ensure that the artificial intelligence policies referred to in regulation 5, subparagraph (a) are updated, whenever required, to keep pace with technology and legal development in artificial intelligence"
5(c),"Diversity, inclusion, equitable access","promote diversity and inclusion in, and equitable access for all to, artificial intelligence literacy, tools, services, research, and faculty development, regardless of their socioeconomic status, geographic location, or background"
5(d),AI in the curriculum,"incorporate artificial intelligence into the curriculum to foster responsible usage of artificial intelligence in, inter alia, coursework, assignments, and research and adopt all necessary steps to ensure that students understand both the technical and ethical dimensions of artificial intelligence"
5(e),Updating educational programmes,take such measures as may be necessary to update educational programmes to align with new developments in the field of artificial intelligence
5(f),Disclosure and acknowledgement,"require the disclosure of usage of artificial intelligence tools in, inter alia, coursework, assignments and research, and the explicit acknowledgement of content and data generated through artificial intelligence"
5(g),Intellectual property compliance,"establish clear guidelines to ensure that the use of artificial intelligence in all areas of academic work and research complies with intellectual property laws and regulations, including but not limited to authorship, patents, copyrights and citation norms"
5(h),Monitoring mechanisms,"establish mechanisms for monitoring the usage of artificial intelligence in, inter alia, teaching, learning, assessment, research, and administration within the higher education institution so as to ensure compliance with all applicable requirements"
5(i),Named ethical principles,"promote responsible and ethical use of artificial intelligence based on, inter alia, the principles of transparency, fairness, accountability, explainability, inclusivity, non-discrimination, social justice, data privacy and security, environmental sustainability, reliability and safety"
5(j),"Harm mitigation, rights and dignity","put in place policies, mechanisms and safeguards to mitigate the risk of harm to human beings and to ensure respect for human rights and dignity"
5(k),Corrective action,take corrective actions or direct that corrective actions are taken where a higher education institution has reasonable cause to believe or becomes aware that the requirements are not being complied with or there has been misuse of AI tools
